Addresses,Doodles,Azuki
0xd4745B170DeDe5eF451D46Fce6A111eE41f4047f,1,1
0xd266c194E126D4FCFC85E8c665ED7f668f6aAe93,1,1
0xd21f21Ed6B663028D6B9fC31f240e6D42A2E401b,1,4
0xed03133deB56d7e94E289a6e2Db4d508f0a3bB2b,1,1
0x4bc5f87C0CB3Ba5F1DCEfA61DD36412AF94DCF81,1,1
0x6ADFb48Badd780B055BA6da688549D20C4D49438,1,2
0x88889778402dcf6cF363bB9Ac47f7A2D8E77A2AF,1,1
0x94D42CE30B20A9f8C3636fA8c61BD2880ADF2092,1,1
0x9EFF1b485fA59288C763f134733AeABcFF4db0d4,1,4
0x6EBF331b50381dfa87AF6b451751351C91E0879A,1,1
0x1C051112075FeAEe33BCDBe0984C2BB0DB53CF47,1,2
0x02ec83bc927b74F362433E184803EA9070105BD1,1,2
0x1E9050d2C187895e676bf3E2F10D06e7f36DCa3E,1,1
0x4e2e67836d10B02B1DCe78591af6DFd1e2d7BCBA,1,2
0xBFaa0172F5B711b30B7D74Ba4efa25Ff501d4F7D,1,1
0x123B02D04C1a850E3ab057397E19c8d5402C5128,1,1
0x3C5391A154269eb6891c791D0c08800D2812cC9b,1,1
0x9bE313209Be2Bf005942D4DDBaFecECDe5F18b30,1,2
0x6B20B16f43Eca32B07fc255420C345adB9E00EE6,1,1
0x728f2548559E2AaCAE8B6b01FC39fF72771FF8BE,1,1
0xD01010EB05219e24ec051103875Ff9f7342A7E23,1,1
0x53aED391f71BC67d8b5b05a3851f46E742A74768,1,1
0x70e7ee4DBBf6f91ef363cd701f4b98B70EC1BA52,1,1
0xA1EFa0adEcB7f5691605899d13285928AE025844,1,1
0x4A7e8DCb760C1068BB6a5828C0d0A57a6143DAf0,1,1
0xC2B39a520d5088aFDa4Fdeac32DbA62516Ed6119,1,4
0xd2dC46C422eC6F131E3aa8156A785c8171665731,1,1
0xf9dbd46Ec67dAD36794FE788C29147e00fc25fE7,1,19
0x065125BE6e8c77b1Fdc5Ba874ffb25E14d2197E9,1,1
0x7A57eAa9E2C57524D4834814633882582524D8ea,1,2
0x2EcD28ce16455A0bafE961A85846EE7E5A7c9b49,1,2
0xd3759c2f98d25CE4AfC11d707280B8f40e6DE4Cd,1,1
0x56D76f5C26175ECC3A88EfA3cfc622C827F8C501,1,1
0x40F845e583b188B91D75528E1D21fb23595f2951,1,1
0xb4C2b19456e265584CF0ACe4BC9A1d7793f04491,1,1
0x66FBeC923D47aF8068a391842FBFe68F4C84a23e,1,2
0xe9243B443f7Ae019F03210c09937BD9a92752D13,1,1
0x10A7330415017A71Ba28CD22a5EEc748b280D6CA,1,1
