Addresses,Cool_Cats,Azuki Count
0x114883c62112C5C98fd22F09221636bdecAfCC6c,1,2
0xE526B01B0728c617a2664ce4Dd86f289FBbd5cE6,1,1
0x7C42d8c9Ea5c6CBa2f42E252953583fcb8dE1CcB,1,2
0x11e41f95aa2CfC13E5E7F2126b5675119FDAFE8a,1,3
0x259b9c4CFEaDaeF8A5b842710a777364988415B3,1,1
0x9D9Fa64Bd35F06c9F0e9598a7dF93c31d72D14Ce,1,1
0x21Bb3Eb127B7b96f39E3e99B0Fb7F4051C4994a8,1,1
0x8dE7cA9753D5faFCbEe95d402C662E1CcC41c546,1,2
0x1A3654a9E2E78423C20647eE52FC179C0c407356,1,1
0x0D76461AA04e1CA42730AaC61dF11E4A47164E48,1,1
0xEd3C3BFfCF147850406d0E58Ce4f4Ebd2b5Cd96C,1,1
0x5a813b82e4520f5534ec617747c1887b9f03F051,1,2
0xC55D765bbd35e495eA519F0A170dedd30363e114,1,2
0xA55B63638cbaBa78Cc4e0200901fd77DF60Ee77b,1,1
0xF380ED92ECA580C4D78B5678348389C82772BD61,1,1
0xc5825A27A03fF2FbA429F49d7E337C4D4dd39400,1,1
0x0ca5EC2aFd63A192dE5aA103F134Bb59F0e47f7F,1,1
0x79dd8Fab0661Da2Cd4131BB454bAb060576ce2ee,1,1
0xC30Ea36667fDaFFD9BC43b89Af8818deBa5A29AD,1,1
0x07173BB420de135AA05ff97e4750D1456865FFD0,1,1
0x994F16B760E5549bDA0e8C9adAB0809552452e76,1,4
0x44cd75d0eccaC283c62184ef87626d639E047441,1,1
0xB1367Bd5C4D68897cCEdAbB0641c6ae491b8A697,1,1
0xDada9e84C051e58F60E92b796620cCf3E4Ba9119,1,2
0xf8AfCacc459038A374C697BC9486A0A410686540,1,1
0xF8d101B33a948fC07b2dd8cBf392c04b586Ed56d,1,1
0xECa588e75c8Eb0D2322f52c2c90Bd525C5a5d93D,1,3
0xc0eBE72C83646F39197F12935b64d2E581846a26,1,1
0xe39bD9e3AF2054Dd193B0D0217CFBD460f104902,1,1
0xD20fCfF37C7E79f5b75a5CfDdA90C23Dc0131E8C,1,1
0x80aC8B6F4CACEa6129F5cF1365904F056b4E29EA,1,14
0xEF651AeB3f20Ee4e2bcd22e111D202CDE25184bB,1,3
0x8101c452Ed4Ae5C0aF5385eb5dfcA47Ee0EFfd32,1,1
0x00227878f54356410004D186B2f1d09DeCCac42D,1,1
0x00DfB0d32722D7820DF685E1B93f33774E83892E,1,1
0xaf9E18cd797548220317fB459095C6afac5C33A7,1,1
0x4401Be780d994db7e1EdD232F0eD08a5a490C8fD,1,3
0xB2e714BF6b0CddE7F27316132Fb612315f3fAf91,1,1
0xF59A60c380b7D2A41aD96453177Ad1Ff854CC199,1,1
0xD4C5211966074126b8F932596A26a34e5AE31d45,1,2
0x93784b5cB0f7b2aA8B67d8D8C391AE507e446266,1,1
0xB66190F67ed8f0ca790DdFE541ee1Bd0dA53fe70,1,1
0x3bEd6c7Ec492D0d57f68F8c402FB7e2DE51c1165,1,1
0x9D92549B057bEf32d11a5B055Fe575749C026a3E,1,1
0x6b49556d74c39e38997d7A44778B739C22A8F491,1,2
0xD3E401814d1FaA8ca0419EccCBFeE93aC7B15B31,1,4
0x3c2B4bDCD2F742C55186fc599Cb733a127E2b8ab,1,1
0x983953213fD82e8d0BaB2fC7c803ae5DFf9d0De1,1,1
0x2de14DB256Db2597fe3c8Eed46eF5b20bA390823,1,6
0x739B19a759cDcA028AAc3706FE4345C4A3372F66,1,1
0x024BCbCAad82E67F721799E259ca60bc7d363419,1,40
0x06b933af4D2b9b051f08411e06A7cB5b3fB1af62,1,1
0x1FEF500586a301D843A8049b6FEFB920b4888513,1,2
0x6b611D278233CB7ca76FD5C08579c3337C01e577,1,1
0x9Baf1B105B591B2107620017Dbe02cA8D7589a49,1,1
0x29e2d5e5b375d76E91caAae341420657EAbBB8c5,1,1
0x7324b1202a7eB60ea969D94690ABB25f8e92c5a8,1,4
0x8bE66c4d48ac7fB0f34996709e2252ac456288FF,1,2
0xBe9998830C38910EF83e85eB33C90DD301D5516e,1,1
